;Content ID;User ID;Type;Datetime;ScreenTime
0;97522e57-d9ab-4bd6-97bf-c24d952602d2;;;22/04/2021;15:17:00
1;97522e57-d9ab-4bd6-97bf-c24d952602d2;5d454588-283d-459d-915d-c48a2cb4c27f;disgust;07/11/2020;09:43:00
2;97522e57-d9ab-4bd6-97bf-c24d952602d2;92b87fa5-f271-43e0-af66-84fac21052e6;dislike;17/06/2021;12:22:00
3;97522e57-d9ab-4bd6-97bf-c24d952602d2;163daa38-8b77-48c9-9af6-37a6c1447ac2;scared;18/04/2021;05:13:00
4;97522e57-d9ab-4bd6-97bf-c24d952602d2;34e8add9-0206-47fd-a501-037b994650a2;disgust;06/01/2021;19:13:00
5;97522e57-d9ab-4bd6-97bf-c24d952602d2;9b6d35f9-5e15-4cd0-a8d7-b1f3340e02c4;interested;23/08/2020;12:25:00
6;97522e57-d9ab-4bd6-97bf-c24d952602d2;7918d465-0953-4f20-9e28-539e74c82e2f;peeking;07/12/2020;06:27:00
7;97522e57-d9ab-4bd6-97bf-c24d952602d2;fa3e42f0-71d8-455f-b024-e52d5c27a145;cherish;11/04/2021;17:35:00
8;97522e57-d9ab-4bd6-97bf-c24d952602d2;b0c22f82-b882-4394-bf27-6dfadf26e5c2;hate;27/01/2021;08:32:00
9;97522e57-d9ab-4bd6-97bf-c24d952602d2;1932a904-86ba-4438-bb52-b7e6516a4019;peeking;01/04/2021;22:54:00
10;97522e57-d9ab-4bd6-97bf-c24d952602d2;;love;04/08/2020;05:05:00
11;97522e57-d9ab-4bd6-97bf-c24d952602d2;f50ac030-3af8-4e07-aacf-dccff353b8f6;indifferent;07/11/2020;08:36:00
12;97522e57-d9ab-4bd6-97bf-c24d952602d2;b09e3125-2162-443b-bea0-25895b7605bc;scared;02/11/2020;06:28:00
13;97522e57-d9ab-4bd6-97bf-c24d952602d2;b143cd2b-20b1-4e9c-9bb7-cfb359b33d01;interested;01/11/2020;01:16:00
14;97522e57-d9ab-4bd6-97bf-c24d952602d2;48e834aa-fd4a-4206-93e8-ac8fdac613bc;hate;07/10/2020;18:39:00
